target,comment
1,سلام اقای رشید پور واقعاخسته نباشید بابت برنامه خوبتون حیف که دارین میرین ولی ما منتظرتون هستیم من وپسرم مانی دوساله برنامتون رو میبینیم مانی اسم شمارو خورشید صدامیکنه موفق باشید همگی
1,دوست دارم فراوان
1,خوشحال شدیم اما بهتر زمان برنامه کم باشه ولی پر متوعاباشه 
1,اونو  اقا پرویز هنگ  محو شده
1,عالی بود
1,خیلی خوشحال شدم ان شاءالله مثل همیشه عالی 
1,برواستراحت کن انشاالله وقتی برمیگردی همه چی درست شده باشه کشورجهان اولی بشیم همه خوشحال وخندان باشیم 
1,بلههه
1,شما بینهایت سرشار از انرژی یا بروایتی بمب انرژی هستین همیشه سالم باشید الهی
1, 
1,لطفا اقای لاشکی را دعوت کنید وزیر اموزش پرورش جوابگو نیست
1,لیاقت کیشی
1,گوش کن بانی رو حالش و ببر
1,استقلال محبوبه
1,همیشه شهاب حسینی
1, سلام صبح بخیر هر بامداد طلوع دوباره خوشبختی و امید دیگری است بگشای دلت را به مهربانی و عشق را درقلبت مهمان کن بی شک شکوفههای خوشبختی در زندگیت گل خواهد_داد 
1,الهی قربونت بشم پیر ننه من 
1,عید شما هم مبارک باشه
1,ببخشید حق مطلب ادا نمیشد اگه چند تا فوش نمیخورد
1, حسن ۱ حسن ۱ حسن دنده به دنده حسن بشقاب پرنده حسن به ریش ملت ببین چطور میخنده حسن ۱ حسن ۱ حسن وعده بسیار حسن ناله ز اغیار حسن دولت بیمار حسن خلق گرفتار حسن ۱ حسن ۱ حسن دولت نرمش حسن وارث محمود حسن دولت کمبود حسن در همه جا گیر حسن دولت تدبیر حسن بنزین آزاد حسن مردم غمباد حسن در دل تحریم حسن دولت تصمیم الا یا ایها المحمود کجایی بیا بنگر که نانها شد هزاری تو را من فحش میدادم زمانی ولی امروز غلط کردم حسابی حسن گفتش که من امید دارم برای مشکلات کلید دارم حسن آمد با آن شیب ملایم همه نامردمیها گشت قایم ولی دیدم همه چرت و دروغ است به خود که آمدم دیدم که دوغ است بیا محمود بیا دورت بگردم بیا تا دست خالی بر نگردم یا حجت ابن الحسن کلیدو بگیر از حسن 
1,اون انگلیسیه 
1,خیلی خوشحالم دوبا ره برنا مه تون شروع شده
1, 
1,دم شما سه تا گرم شما عادل خیابانی
1,الان عطر یاس سفید زدم بوش عالیه بفرمایید
1,درود برشما کهحرف دل مردم رو میزنید
1,خیلی خوب عالی 
1, 
1,همین احترامی که به مخاطب تون میگذارید باعث شده بهترین برنامه صداوسیما را داشته_باشید خسته نباشید و ممنون
1,لایک
1, 
1,بازیهای کامبیر همش عالیه
1,هنرمند واقعی شهاب حسینی والسلام 
1,چرا روزای دیگه به زور از خواب بلند میشیم ولی روز جمعه مثه خروس سحرخیز هستیم هااا
1,سلام آقا رشیدپور انشاءالله همیشه بدرخشین چون خورشید برای درخشیدنه مثل ماه که باید بتابه خیلی عزیزی برامون
1,پرویزم از امروز تمام هزینه هات با منه
1,سلام به حالا خورشید با تمام کارها بازم میبینیم هممون 
1,اینقد لونگ بازی درنیار
1,خانم بی حاشیه متین و موقر دلنشین باشخصیت
1, انتقاد دانشآموزان به قانون جدید کنکور جمعی از دانشآموزان به تصمیمات جدید مسئولان درباره کنکور اعتراض دارند و این انتقاد را به شرح زیر بیان کردهاند تاثیر قطعی سوابق تحصیلی گامیست در جهت نابودسازی استعدادها وانگیزه باورها و تلاشهای انسان هایی خالص و نوجوان برای ساختن آینده و شخصیتشان گسترده بودن تقلب در امتحانات نهایی سلیقهای تصحیح شدن ورقهها لو رفتن و فروش سوالات عدم غربالگری مناسب این امتحان همه دلایلی برای غیر منطقی و ناعادلانه و ظالمانه بودن تاثیر قطعی معدل است تاثیر قطعی معدل امری بسیار خطرناک و زیان بار است که اثرات منفی ان بعد از کنکور مشخص خواهد_شد از شما اصحاب رسانه خواهشمندیم رسالت خود مبنی بر اگاهی رسانی و بلند کردن صدای حق را ادا کنید چند دلیل برای ناعادلانه بودن تاثیر قطعی معدل ۱تقلب گسترده در حوزهها و عدم مراقبت مناسب از دانش اموزان ۱لو رفتن سوالات در سالهای ۲ ۲ که اکثر داوطلبان کنکور سال اینده دیپلمشان را در این سالها اخذ کرده_اند ۱بودن دانش اموزان با معدلهای پایین که کنکور را فرصت جبران برای خود میبینند مثل اقای رستگار رحمانی رتبه ۱ کنکور ۲ و۱ دستیاری اگر برای مثال زمان ایشان تاثیر معدل قطعی بود الان احتمالا کارگری میکرد ۱عدم برابری نوع تاثیر سوابق تحصیلی داوطلبین نظام قدیم و جدید برای مثال داوطلبین نظام قدیم با شرکت در دو امتحان نهایی ۲ درصد سوابق تحصیلی میگیرند ولی داوطلبین نظام جدید با یک امتحان نهایی ۲ درصد تاثیر سوابق تحصیلی میگیرند ۱عدم برابری حجمی و سطحی و کمی و کیفی کتب اموزشی نظام جدید و قدیم ۱دور زده شدن این قانون و برابر نبودن سوابق تحصیلی برای همه دیپلمه هابرای مثال اگر کسی دیپلم ریاضی باشد و کنکور تجربی شرکت کند سوابق تحصیلی وی ۲ درصد محاسبه نخواهد_شد و از داوطلبینی که تاثیر سوابقشان ۲ درصد است و دیپلم تجربی دارند جلو میافتند گرچه بار علمی کمتری دارند از شما خواهشمندیم صدای قشر آیندهساز میهن را به گوشهای شنوا برسانید امضا داوطلبان کنکور سراسری ۲ 
1,سلام ممنون از زحماتتون
1,عااالیه خوش اومدین آقای رشید پور برقرار باشیدا
1,کاشکی خانم صفوی ادامه میدادن قلمش بسیار خواندنی است
1,دانههای برف شاد باش میبارد زمین دیگر تاب سیاهی را نداشت خدا آب و جارویی به راه انداخته_است سجده شکر به جا میآوریم الحمدا کما هو اهله الحمدا رب العالمین
1,واقعا متخصص
