target,comment
2,همه خوبند عالی هستند من آدمها را به چالش نمیکشم بستگی به شرایط داره از اینکه شما مجری مردمی دعوت میکنی و پاسخ میخواهی بینهایت سپاسگزاریم 
2,احسنت اقای رشید پور با این برنانه جالب که مدیریت میکنی
2,ممنون از برنامه خوبتون و حرفهایی که از طرف مردم زدی
2,ببخشید حق مطلب ادا نمیشد اگه چند تا فوش نمیخورد
2,آقای رشیدپور برنامهی صبحگاهی تان واقعا مفید و شاد هستش و حسابی روحیه به ما میدهد و هرروز بهتر از دیروز  امید اینکه دوباره ادامه پیدا کنه
2,   وااای ارع موافقم
2,عالی 
2,عالی میخونید اقای عقیلی
2,سلااام آقای رشید پور خسته نباشی مرد 
2,خوششش آمدید
2,دوست دارم 
2,ای جانم اقا رضا بیا تورو خدا دیگه
2,خیلی خوبه برنامه اتون بی نظیر فقط تبلیغات نباشه تو برنامه
2,درود آفرین به این قهرمان
2,اقای نشاط فوالعاده بود با این به قول خودشون یخچال
2,توروخدا برنامه رو همیشگی کنید از خیلی جهات برنامه شما تک و نمونه ست
2,برنامه تون عااالی 
2,آقای رشیدپور من تا هفته ۲ بچهام پسر بود و لحظه به دنیا اومدنش دختر شد خداروشکررر شما ببین این وروجک چجوری من و باباش و دکتر رو سر انگشتش چرخوند
2,سلاممم ما همگی خونه مامان بزرگیم عید همهگی مبارک
2,آقای رشیدپور واقعا عالی بودید تنها برنامهای که حرف حق میزنه برنامه شماست وامیدوارم این برنامه ادامه داشته باشه
2,وای گوهر سینمای ایران پاینده باشی
2,خیلی برنامه خوبیه
2,خوشتیپ کی بودی تو 
2,۰۱۱ پرچم شهسوار بالا
2,بلههه بدون تردید
2,پرویز جان مرد سال تویی باور کن میگی نه نگاه کن
2,سلام جناب رشید پور وخسته نباشی ممنون از شما که بعضی وقتها حرف دل مردومو میزنی واینکه تلوزیون ب بفکر ما که ن پول داریم ن ماشین همهی این ۲ روزو خونهایم برنامهها شاد فیلمهای خوبی پخش کنه
2,دوستت دارم مهندس عزیزم
2,خوشحالم که هستید
2,شما رو خیلی دوس داره
2,سلام با تشکر فراوان از برنامه پر انرژی حالا خورشید آقای رشید پور حالا خورشید خیلی عالیه مخصوصا با طنازیهای آقای نشاط خیلی متشکریم
2,برنامه حالا خر شید با دعوت از احسان علیخانی
2,حاشا و کللا فی ان علا خخخ
2,زنده باشید
2,شما جوانان عالی باسواد مثبت جامعه ما هستین برقرا ر باشید 
2, 
2,احسنت به تو پسر خوب 
2,دست مریزاد پاینده باشید وسلامت
2,همشان عالی هستن به نوبه خودشان بانی چاوشی سالارعقیلی حمید هیراد
2,آقای دیرباز بازیتون عالیه
2,سلام همه در حال بدو بدو برای خرید برای خونه تکونی هستن خوبه که سرهمه گرمه با اینهمه کار ایشاالله که به خوبی ودل خوش برای همه هموطنامون باشه برای برگزای مراسم سال نو
2,سلام اقای رشید پور روز مهندس رو بهتون تبریک میگم تشکر میکنم از برنامه بسیاررر خوبتون انشالا همیشه موفق باشید
2,چرا داره برنامه تمام میشه هیف خیلی خوب بود خیلی
2,ممنون ازبرنامه خوبتون
2,در این برنانههای تلویزیونی که همش شما بی نظیری
2,آقای رشید پور کرج داره برف میاد
2,من این کتاب رو خوندم خیلی عالیه
2,بله مناسبه دوران جوانیه
2,جناب رشیدی روزتون مبارک
2,چه جالب جدی خوشحال شدم
2,درود به شما جناب مهندس
2,سلام برای بارش این نعمت لایزال خرسندم کاش این شادمانی ما با مرگ کارتن خوابها همراه نباشه کاش حالا که نصف کشور از نعمت بارش بهره منده زلزله زده هامون جاشون گرم و نرم باشه کاش با مشکل گاز رسانی مواجه نشیم آقای رشید پور کاش یکی یادمون بده دونستن قدر نعمت فقط این نیست که بگیم خدایا شکرت اینه که یاد بگیریم از اون نعمت چطور استفاده کنیم کاش بلد باشیم که این آبها رو چطور مهار کنیم کاش شهر بخاطر یه بارش قفل نشه دعا میکنم شادمانیهای حاصل از برف و بارانمان جاودان باشه و رنگ غم از سردی و زمستان رو چهره هیچ کس نشینه آمین
2,سلام اولین برنامه تلویزیون هست که به این شدت دنبال میکنم وخیلی هم دعاتون میکنم که آسیبی بهتون نرسه
2,رشید پور خیلی مردی
2,واقعا با احترام خدمت سایر بازیگرامون انتخاب حقی بود 
2,شهاب حسینی و هومن سیدی عشقن
2,خیلی خوشحال شدم موفق باشید خدا قوت
2,درود بر رضا عزیز قربون اراده وپشت کارت انشالله همیشه موفق باشی
2,درود برشما
2,مهندسان عزیز و زحمت کش روزتون مبارک
2,سلام در کنار همسر و فرزندانم داریم برنامه خوبتون رو نگاه میکنیم امنه حدادی از تهران
2,ممنون از برنامه خوب تون و انتقادات شما
2,من در نظر سنجی شرکت کردم برنامه شما عالیه باشین همیشه
2,پایتخته۶بسازید 
2,زنده باشید رک سخنه شیرین سخن
2,عالیه 
2,زنده باشه الهی خانم سعیدی وهمهی مادرای گل سرزمینم
2,اقای رشیدپور عزیز سلام برنامه تون عالیه موفق باشین
2,براووو
2,اقای رشیدپور درود برشما ما بازم ازتون حمایت میکنیم برای ادامه برنامه خوبتون امیدوارم دیگه از پایان کار حرف نزنید واقعا ناراحت میشیم
2,چرا تموم میشه اخه ممنون از برنامه قشنگتون اجراتون واقعا عالیه سلماز از لندن 
2,آقای رشید پور عزیز فرزند ملت ایرانبراتون آرزوی سلامتی و موفقیت دارم زنده و پاینده باشی
2,سلام اقای رشید پور ممنون از برنامتان لطفا در مورد موسسه پدیده هم صحبت کنید تا مشکل سهام داران این موسسه حل شود تا از بلا تکلیفی در بیان خواهشا
2, 
2,میدمش به کسی که نیاز داره
2,روزت مبارک دمت گرم اینقدرقدرت داری تا تودهن عقب افتادهای اصولگراها را بزنی احسن به شما
2,عالی هستید خدا قوت
2,چوخ قشنگ
2,خیلی ممنون از برنامتون روزتون بخیر وشادی دوستتون دارم و برنامتون واقعا عالیه
2,سریال پایتخت عالییی بود ولی یه سوال دلیل انتخاب این اسم برای سریال چی بود
2,سلام الهی صدساله باشی ایول به غیرت ایرانیت از اینکه صدای مردم ایرانی 
2,رضا جان داداش خیلی کارت درسته هم خودت و هم همکارهات خسته نباشید
2,چقدر خوبه که هستین تنتون سلامت
2,خیلی خوشحال شدم دستتون درد نکنه با این خبر خوبتون البته با حضور اقای رشید پور وگرنه نگاه نمیکنم
2,بسیار عالی جناب رشید پور عزیز و بزرگوار 
2,عالی 
2,بله اقای رشیدپور ما ک راضی هستیم چرا میپرسین وقتی ک برنامه شما بین اینهمهه برنامه اول شد یعنی برنامه همیشه ادامه داره انشالله
2,اینجا فقط خاکه 
2,لایقش بود بسیار عالییی
2,خدا نگهدارتون باشه ما یزدیها ک برف نداریم فقط باید از راه دور ببینیم
2,وای چه عالی دستتون دردنکنه
2,بنظرم خوبه که توی پایتخت ۱ بالون بیوفته سیستان و بلوچستان سارا و نیکا توی بیابون درس بخونن و غذا برای خوردن نداشته باشن یا اینکه اهواز تا سارا و نیکا نتونن نفس بکشن یا اینکه نقی معمولی نگهبان فروشگاهه و شش ماه حقوق نگرفته باشه یا مثلا هما سعادت سرطان بگیره و پول درمان نداشته باشه یا مثلا بهتاش تا سن ۲ سالگی بیکار باشه و معتاد باشه یا مثلا ارسطو همه پولهاش توی موسسات مالی به باد بره به این سوژهها هم فکر کنید
2,سلام از مهموناتون تشکر کنین خانواده معمولی توی ذهن ما رنگ واقعیت دارن و اونقد باورپذیر بازی کردن که دوست داریم سریال ادامه داشته باشه
2,سلام اقای رشید پور ممنون از برنامه عالی تون
2,بله برنامتون حرف نداره
2,اشکالی نداره خدا رو شکر دست شما هم درد نکنه
2,بببله چراکه نه راضیهستیم هزارهزار 
2,رشید پور دیگه فقط جاش تو برنامه ۲ خالیه 
2,به به مشتاق دیدار خیلی خوشحالیم 
2,عالی باشین همیشه
2,خیلی برنامه عالیه
2,بله خیلی عالی خسته نباشید باتشکر بسیار 
2,چه عالی خوش جلیسوز
2,شما عالی هستید آقای نشاط
2,بهنام بانی بهترینه از هرنظر مخصوصا با اون سیبیلای سالوادوریش
2,دمش گرم ارزوی موفقیت دارم براش 
2,برنامه عالی بود
2,سلام همسرم مردنمونه سال هست اقاست
2,اومدنت دست خودت بود رفتنت دست ماستبقول هیراد شوخیه مگه بزاری بری نمووونی 
2,چقدر خوب شد باز اومدین 
2,بله دگ رشید پور گل گلاب
2,درود بر شما خیلیم عالی ما منتظریم 
2,خوب جلوش کم نیورد رشیدپور 
2,شما بی همتا یین 
2,محشری پسر گلم خوش امدی
2,عالی عالی عالی حرف دیگهای ندارم
2,یزد خودونم برف أومده إقه خش شده
2,کامبیز جان دوستت دارم
2,درووود بر شما که هنوز فراموششون نکردین
2,۸۵ درصد داوطلبان باتاثیر قطعی مخالفند
2,سلام تشکر از شما اقای رشید پور واقعا برنامتوون عاله مادرم عاشق همین برنامه هس انشالله همیشه موفق و سر بلند باشید
2,پرچم مشهدیا بالاست چون صدا وسیمامفتخراست به بودن عزیزانی چون اقای مسعودی خانواده ارجمندها اقای عطاران و همشون نور چشم مشهدیان
2,تروخدااین برنامه روادامه بدین هم مجری اگاه ومهمترازهمه نترس وشجاع ومردمی درجه یکه حرف دل ماهایی که دستمون بجایی نمیرسه رو به زبون میاره ودغدغه مردمی داره چرابعضی ازمامردم زحمت امثال حالاخورشیدیهارونمیبینیم وب چوب ازمابهترون میسوزونیدازخدابترسیدحق الناسه بخدادمنون گرم وخداقوت
2,بانوی توانمند ودوست داشتنی درعرصه سینما درهرنقشی واقعا درخشیده وهیچوقت کم نزاشته خداقوت وخسته نباشی
2,با سلام خدمت مجری محترم آقای رشیدپور وهمکاران برنامه حالاخورشید ما دانشجویان رشته علوم آزمایشگاهی خواستار جلوگیری از ورود رشتههای زیست و شیلات و به آزمایشگاه وبازی با جان مردم هستیم درحال حاضر بسیاری از آزمایشگاهها که ۲ درصد تشخیص پزشکی است محل بیکاران سایر رشتهها شده تا با حقوق کم کار کنن برای همین رشته علوم آزمایشگاهی بایددر وزارت بهداشت لیسانس پروانه دار به حساب آید تا ما پرسنل در آزمایشگاه هویت داشته_باشیم و شماره نظام پزشکی بهمون تعلق بگیره از شما خواهشمندیم صدای ما پرسنل که حتی بعضا حقوق زیر ۱ میلیون در بخش خصوصی میگیریم و امنیت شغلی هم نداریم را بشنویدخواهشمند است مشکلات مارا به گوش وزیر بهداشت دکتر هاشمی برسانید تا ایشان با تقاضای ما درخصوص لیسانس پروانه دار شدن رشته موافقت کنند ممنون از برنامه خوبتون دانشجویان و پرسنل علوم آزمایشگاهی بیمارستانهای کل کشور
2,خیلی قشنگ  رمانه
2, 
2,ایشالا که دوباره ادامه داشته باشه 
2,خوشحال شدم از فردا برای بیدار شدن انگیزه دارم
2,خدایا توی این چها رشنبه سوری همه جوانها ومردم رو از این خطرات حفظ کن تا در سال جدید هیچ خانوادهای داغدار نباشد
2,بله برنامه اتون عالیه
2,برنامت نتیجه بخش و مورد قبول هست
2,مگه بهتراز اقای شهاب حسینی هم داریم
2,بابام میگه من به بیسکویت گرجی میگفتم بیسکویت کرجی 
2,بپرس دیگهههخ
2,بسیار عالی آقای رشید پور کارش بیست خسته نباشید دستشون در نکنه همه همکارها همه 
2,من که عاشق این برنامهام
2,خیلی ممنون از برنامه خوبتون من صبحها با برنامه شما کلی انرژی مثبت میگیرم
2,اراکم باریدن برف شروع شد بالاخرهبرف و دیدیم
2,خخ
2,خانم بسیارباشخصیت ومتین وباوقاروهنرمندی ارزنده درعرصههای مختلف تئاتر وسینما و رادیو وتلویزیون واقعابی نظیرهستند خداحفظشون کنه خیلی دوستشون دارم
